folder,pop,picname,Body_weight(g),Total_length(mm),Standard_length(mm),cal
All,All,20170913021_L,42.4,178.52,141.32,386
All,All,20170913022_L,45.5,173.86,136.5,386
All,All,20170913023_R,48.8,175.33,138.99,386
All,All,20170913024_L,51.5,184.33,145.29,386
All,All,20170913025_L,38.9,171.2,135.26,386
All,All,20170913026_L,46,174.61,141.14,386
All,All,20170913027_L,40.8,174.78,136.74,386
All,All,20170913028_R,42.5,175.65,143.44,386
All,All,20170913029_L,47.9,174.82,139.95,386
All,All,20170913030_L,46.4,170.07,138.18,386
All,All,20170913031_L,42.1,173.57,137.82,386
All,All,20170913032_L,36.7,169.07,135.18,386
All,All,20170913033_R,33.7,161.21,130.62,386
All,All,20170913034_L,33.6,159.58,129.64,386
All,All,20170913035_L,28.9,152.12,120.46,386
All,All,20170913036_L,22,135.99,108.95,386
All,All,20170913037_L,27.2,140.92,114.41,386
All,All,20170913038_L,23.6,133.4,109.64,386
All,All,20170913039_L,14.5,114.44,91.35,386
All,All,20170913040_L,18.1,126.19,101.35,386
All,All,20170913041_L,15.1,116.27,91.95,386
All,All,20170913043_L,9.9,106.18,84.19,386
All,All,20170913044_L,10.1,101.63,81.97,386
All,All,20170913045_L,9.3,99.37,82.75,386
All,All,20170913046_L,11.1,104.8,85,386
All,All,20170913047_L,9.6,101.89,81.97,386
All,All,20170913048_L,10.8,104.18,85.1,386
All,All,20170913049_L,10.5,101.84,79.19,386
All,All,20170913050_L,11.8,103.12,84.93,386
All,All,20170913051_L,11.3,106.58,84.43,386
All,All,20170913052_L,11.1,106.27,85.78,386
All,All,20170913053_L,10.5,98.92,81.48,386
All,All,20170913054_L,7.1,88.55,70.25,386
All,All,20170913055_L,8.1,93.17,76.66,386
All,All,20170913057_L,10.7,100.61,80.08,386
All,All,20170913058_L,9.6,97.37,79.35,386
All,All,20170913059_L,7.8,95.28,75.03,386
All,All,20170913060_L,7.9,92.39,73.32,386
All,All,20170913061_L,8.3,89.97,72.2,386
All,All,20170913062_L,11.5,105.92,86.36,386
All,All,20170913063_L,11.5,111.88,87.6,386
All,All,20170913064_L,12.9,104.25,80.04,386
All,All,20170913065_L,8.9,96.69,78.49,386
All,All,20170913066_L,8.7,96.29,75.13,386
All,All,20170913067_L,9.7,97.35,78.05,386
All,All,20170913068_L,5.1,84.75,66.05,386
All,All,20170913069_L,5.5,88.89,70.27,386
All,All,20170913070_L,6.9,90.47,72.81,386
All,All,20170913071_L,6.9,93.24,73.4,386
All,All,20170913072_L,7.9,93.4,75.01,386
All,All,20170913073_L,5.9,83.94,67.5,386
All,All,20170913074_L,9.5,98.69,80.36,386
All,All,20170913077_L,7.5,94.44,77.3,386
All,All,20170913078_L,5.7,86.98,68.77,386
All,All,20170913079_L,7.2,85.87,71.26,386
All,All,20170913080_L,4.5,76.27,59.33,386
All,All,20170913081_L,3.8,71.17,57.9,386
All,All,20170913082_L,3.7,73.05,57.68,386
All,All,20170913083_L,3.5,71.32,56.38,386
All,All,20170913084_L,4.2,74.04,62.66,386
All,All,20170913085_L,4.8,81.82,65.58,386
All,All,20170913086_L,4.1,73.84,58.74,386
All,All,20170913087_L,3.4,72.08,56.05,386
All,All,20170917002_L,203.4,289.6,237.49,386
All,All,20170917003_L,184.5,286.35,231.64,386
All,All,20170917004_L,80.8,215.04,172.97,386
All,All,20170917005_L,59.4,201.94,163.89,386
All,All,20170917006_L,58.3,191.24,155.55,386
All,All,20170917007_L,52.2,182.42,146.99,386
All,All,20170917008_L,51.4,182.91,144.34,386
All,All,20170917009_L,52.3,193.76,157.02,386
All,All,20170917010_L,65.8,195.67,157.57,386
All,All,20170917011_L,55.7,186.49,153.37,386
All,All,20170917012_L,60.1,187.38,154.59,386
All,All,20170917013_L,77.6,215.63,175.32,386
All,All,20170917014_L,48,190.64,151.03,386
All,All,20170917015_L,55.4,189.87,153.39,386
All,All,20170917016_L,35.7,171.65,133.87,386
All,All,20170917017_L,43.1,184.77,149.29,386
All,All,20170917018_L,44,178.12,146.16,386
All,All,20170917020_L,26.3,153.86,119.83,386
All,All,20170917021_L,29.3,149.82,121.95,386
All,All,20170917023_L,13.3,115.26,94.48,386
All,All,20170917024_L,12.3,110.05,89.62,386
All,All,20170917025_L,11.1,105.73,86.47,386
All,All,20170917026_L,11.8,107.63,86.54,386
All,All,20170917027_L,14.2,115.7,93.8,386
All,All,20170917028_L,10.7,105.33,85.72,386
All,All,20170917029_L,10.6,105.69,85.14,386
All,All,20170917031_L,9.4,103.68,83.75,386
All,All,20170917032_L,10.7,105.33,85.72,386
All,All,20170917033_L,8.8,103.56,83.32,386
All,All,20170917034_L,12.3,109.04,87.02,386
All,All,20170917035_L,11.1,106.39,87.03,386
All,All,20170917036_L,8.3,95.62,78.26,386
All,All,20170917037_L,8.2,98.5,76.7,386
All,All,20170917038_L,11.3,111.29,86.93,386
All,All,20170917039_L,7.6,97.88,78.75,386
All,All,20170917040_L,7.7,94.11,75.19,386
All,All,20170917041_L,7.8,100.78,79.48,386
All,All,20170917042_L,7.6,95.68,77.82,386
All,All,20170917043_L,10.6,101.57,83.4,386
All,All,20170917044_L,7.7,97.33,78.62,386
All,All,20170917045_L,7.3,93.42,74.73,386
All,All,20170917046_L,8.3,98.97,77.59,386
All,All,20170917048_L,7.1,92.15,73.99,386
All,All,20170917049_L,6.6,89.85,71.83,386
All,All,20170917050_L,4.5,82.37,65.03,386
All,All,20170917051_L,5.3,84.43,65.64,386
All,All,20170917053_L,5.7,90.19,69.97,386
All,All,20170917054_L,4.9,80.79,65.44,386
All,All,20170917055_L,4.2,77.05,63.02,386
All,All,20170917056_L,3.8,76.49,60.5,386
All,All,20170917057_L,3.3,76.54,60.84,386
All,All,20170917058_L,2.2,66.71,51.56,386
All,All,20170917059_L,5.3,87.41,69.46,386
All,All,20170917061_L,6.8,92.42,73.04,386
All,All,20170917062_L,7,91.39,73.25,386
All,All,20170917063_L,4.8,78.29,63.12,386
All,All,20170917064_L,4.4,78.4,61.38,386
All,All,20170917065_L,5,83.02,66.16,386
All,All,20170917066_L,4.3,79.42,62.75,386
All,All,20170917067_L,4.2,77.06,61.32,386
All,All,20170917068_L,3.6,72.01,55.99,386
All,All,17050901_L,266.1,274.06,247.75,386
All,All,17050902_L,208.7,293.1,240.8,386
All,All,17050903_L,190.3,271.87,227.33,386
All,All,17050904_L,38.2,169.37,135.86,386
All,All,17050905_L,27,136.79,114.36,386
All,All,17050906_L,13.8,113.3,92.51,386
All,All,170509020_L,266.1,274.06,247.75,386
All,All,170509021_L,208.7,293.1,240.8,386
All,All,170509022_L,190.3,271.87,227.33,386
All,All,170509023_L,38.2,169.37,135.86,386
All,All,170509024_L,27,136.79,114.36,386
All,All,170509025_L,13.8,113.3,92.51,386
All,All,170806001_L,454.8,377.61,307.61,386
All,All,170806002_L,142,246.08,203.16,386
All,All,170806003_L,161,262.12,213.38,386
All,All,170806004_L,85.9,209.79,173.85,386
All,All,170806005_L,72.5,206.18,165.1,386
All,All,170806006_L,62.5,180.74,146.33,386
All,All,170806007_L,72.4,201.42,167.06,386
All,All,170806008_L,43.4,165.56,133.9,386
All,All,170806009_L,45.8,170.18,141.76,386
All,All,170806010_L,39.7,160.57,127.35,386
All,All,170806011_L,25.8,141.21,114.88,386
All,All,170806121_L,39.7,178.03,140.58,386
All,All,170806122_L,16.1,125.5,103.85,386
All,All,170806123_L,30.2,152.64,127.34,386
All,All,170806124_L,25.9,146.11,117.93,386
All,All,170806125_L,26.7,148.59,121.16,386
All,All,170806126_L,27.3,147.69,117.86,386
All,All,170806127_L,17.3,125.37,99.92,386
All,All,170806128_L,14.2,120.92,98.96,386
All,All,170806129_L,13.5,126.5,99.27,386
All,All,170806130_L,9.1,103.4,82.84,386
All,All,170806131_L,15.2,127.59,96.49,386
All,All,170806132_L,11.6,113.09,89.04,386
All,All,170806133_L,6.1,87.72,71.33,386
All,All,170806134_L,5,85.93,69.43,386
All,All,170806135_L,9.4,105.48,85.44,386
All,All,170806136_L,7.8,100.5,81.82,386
All,All,170806137_L,11,113.92,89.91,386
All,All,170806138_L,5.8,83.82,69.02,386
All,All,170806139_L,6.7,79.09,73.85,386
All,All,170806140_L,8.7,97.01,78.84,386
All,All,170806141_L,7.9,97.42,78.4,386
All,All,170806142_L,7.9,101.93,81.88,386
All,All,170806143_L,8.9,105.53,86.17,386
All,All,170806144_L,4.9,87.76,70.67,386
All,All,170806145_L,7.2,99.27,79.11,386
All,All,170806146_L,6,92.93,74.22,386
All,All,170806147_L,4.2,81.95,65.03,386
All,All,170806148_L,12.8,119.37,95.46,386
All,All,170806149_L,4.4,83.02,68.78,386
All,All,170806150_L,4.6,82.19,66.96,386
All,All,170806151_L,4.9,85.4,68.92,386
All,All,170806152_L,4.1,81.81,67.71,386
All,All,170806153_L,6.1,91.08,70.84,386
All,All,170806154_L,4,78.16,63.62,386
All,All,170806155_L,3.4,71.67,60.39,386
All,All,170806156_R,3.7,80.96,64.73,386
All,All,170806157_L,5,90.02,70.22,386
All,All,170806159_R,4.6,83.53,66.3,386
All,All,170806160_L,5.1,84.56,67.44,386
All,All,170806161_L,3.9,77.74,62.04,386
All,All,170806162_L,5.7,92.56,73.02,386
All,All,170806163_L,5.9,96.01,75.5,386
All,All,170806164_L,4.4,81.64,64.34,386
All,All,170806165_L,4.4,85.13,67.03,386
All,All,170806166_L,4.8,82.78,66.62,386
All,All,170806167_L,5.1,81.74,61.66,386
All,All,170806168_L,6.8,95.8,75.57,386
All,All,170806238_L,7.1,99.39,78.74,386
All,All,170806239_L,5.6,87.85,70.9,386
All,All,170807005_L,5,79.95,63.81,386
All,All,170807006_L,6.9,91.42,74.17,386
All,All,170807007_L,6.2,87.19,70.05,386
All,All,170807008_L,6.6,88.96,73.27,386
All,All,170807009_R,7.3,92.47,73.52,386
All,All,170811101_L,6.124,98.92,77.29,386
All,All,170811102_L,3.71,81.83,65.09,386
All,All,170811103_L,3.904,83.97,66.68,386
All,All,170811104_L,4.266,86.8,66.76,386
All,All,170811105_L,4.128,84.47,66.95,386
All,All,170811106_L,4.535,92.57,71.58,386
All,All,170811107_L,3.131,79.04,63.23,386
All,All,170811001_L,819.9,455,375,386
All,All,170811002_L,173.6,308.5,259.86,386
All,All,170811003_L,212.3,305.67,246.4,386
All,All,170811004_L,184.9,268.01,219.95,386
All,All,170811005_L,92.1,216.22,178.66,386
All,All,170811006_L,104.7,234.52,190.78,386
All,All,170811007_L,103.9,234.12,195.42,386
All,All,170811008_L,85.1,214.86,177.94,386
All,All,170811009_L,69.4,201.19,165.28,386
All,All,170811010_L,82.1,213.81,174.97,386
All,All,170811011_L,74,204.08,168.49,386
All,All,170811012_L,66.9,198.39,167.05,386
All,All,170811013_L,56.3,188.65,155.78,386
All,All,170811014_L,44,185.32,141.75,386
All,All,170811015_L,54.5,183.36,146.82,386
All,All,170811016_L,52.1,183.36,146.82,386
All,All,170811017_L,47.4,175.18,142.31,386
All,All,170811018_L,43.3,168.07,143.16,386
All,All,170811019_L,35,156.9,129.49,386
All,All,170811020_L,46,177.5,146.73,386
All,All,170811021_L,67.3,193.87,164.16,386
All,All,170811022_L,50,183.87,144.02,386
All,All,170811023_L,34,162.34,129.48,386
All,All,170811024_L,33.7,166.79,133.14,386
All,All,170811025_L,35.3,164.9,130.68,386
All,All,170811026_L,39.4,163.65,138.87,386
All,All,170811027_L,20.8,135.74,108.95,386
All,All,170811028_R,24.1,141.65,118.76,386
All,All,170811029_L,36.8,169.37,137.33,386
All,All,170811030_L,39.4,166.22,137.15,386
All,All,170811031_L,27.7,142.8,117.13,386
All,All,170811032_L,24.3,141.85,115.65,386
All,All,170811033_L,32.6,151.85,120.09,386
All,All,170811034_L,29.5,148.59,122.02,386
All,All,170811036_L,30.8,152.48,116.98,386
All,All,170811037_L,28.9,154.71,123.15,386
All,All,170811038_L,32.2,160.56,127.4,386
All,All,170811039_L,28.5,153.52,118.55,386
All,All,170811040_R,24.7,140.33,111.5,386
All,All,170811041_L,30.3,158.43,128.12,386
All,All,170811042_L,19.5,133.14,102.49,386
All,All,170811043_L,25.9,136.79,112.57,386
All,All,170811044_L,19.3,133.36,105.12,386
All,All,170811045_R,19.9,130.32,106.08,386
All,All,170811046_L,15.4,119.66,94.31,386
All,All,170811047_L,18.7,132.95,106.26,386
All,All,170811048_L,20.1,131.29,106.31,386
All,All,170811049_L,20.7,140.8,109.67,386
All,All,170811050_L,19,126.62,105.12,386
All,All,170811051_L,21.5,132.27,105.14,386
All,All,170811052_L,13.9,113.62,94.52,386
All,All,170811053_L,17.5,118.9,99.28,386
All,All,170811054_L,16.6,122.5,100.78,386
All,All,170811055_L,13.6,109.21,90.89,386
All,All,170811056_L,18.2,125.16,103.54,386
All,All,170811057_L,18.3,129.87,104.16,386
All,All,170811058_L,13.4,107.77,96.01,386
All,All,170811059_L,12.4,113.21,92.77,386
All,All,170811060_L,16.4,126.51,103.8,386
All,All,170811061_L,13.6,114.47,94.47,386
All,All,170811062_L,13.4,111.13,90.9,386
All,All,170811063_L,13.4,118.51,96.79,386
All,All,170811064_L,15.5,118.44,100.61,386
All,All,170811065_L,16.9,114.08,94.04,386
All,All,170811066_L,12.4,116.29,92.78,386
All,All,170811067_L,15.7,129.34,102.71,386
