"","folder","pop","picname","Body_weight.g.","Total_length.mm.","Standard_length.mm.","cal"
"168","LKZ","LKZ","170517074_L",42.8,148.36,123.14,386
"169","LKZ","LKZ","170517075_L",32,139.4,114.37,386
"170","LKZ","LKZ","170517076_L",19.7,119.88,95.27,386
"171","LKZ","LKZ","170517077_L",21,125.1,97.96,386
"172","LKZ","LKZ","170517078_L",14.6,105.68,83.27,386
"173","LKZ","LKZ","170517079_R",14.6,112.48,94.1,386
"174","LKZ","LKZ","170517080_L",17.8,117.18,101.95,386
"175","LKZ","LKZ","170517081_R",20.4,128.5,105.38,386
"176","LKZ","LKZ","170517082_L",20.7,128.9,106.91,386
"177","LKZ","LKZ","170517083_R",20.1,125.2,104.43,386
"178","LKZ","LKZ","170517084_L",21.6,124.28,106.24,386
"179","LKZ","LKZ","170517085_L",19.4,131.69,106.12,386
"180","LKZ","LKZ","170517086_L",19.1,112.12,90.3,386
"181","LKZ","LKZ","170517087_L",20.5,121.57,96.65,386
"182","LKZ","LKZ","170517088_R",12,105.28,80.43,386
"183","LKZ","LKZ","170517089_L",16.9,111.88,93.55,386
"184","LKZ","LKZ","170517090_R",19.2,116.11,91.28,386
"185","LKZ","LKZ","170517092_L",18.8,113.45,94.61,386
"186","LKZ","LKZ","170517093_L",17.1,105.86,92.51,386
"187","LKZ","LKZ","170517094_L",21.7,115.61,98.71,386
"188","LKZ","LKZ","170517095_R",21.2,126.77,101.08,386
"189","LKZ","LKZ","170517096_L",26.5,142.65,108.04,386
"190","LKZ","LKZ","20170914001_L",185.1,276.04,228.29,386
"191","LKZ","LKZ","20170914002_L",129.3,240.98,199.89,386
"192","LKZ","LKZ","20170914003_L",91,214.51,177.6,386
"193","LKZ","LKZ","20170914004_L",70.5,203.89,162.83,386
"194","LKZ","LKZ","20170914005_L",74.4,203.19,166.52,386
"195","LKZ","LKZ","20170914006_L",58.9,194.41,158.05,386
"196","LKZ","LKZ","20170914007_L",83.2,207.44,170.55,386
"197","LKZ","LKZ","20170914008_L",48.1,175.72,143.74,386
"198","LKZ","LKZ","20170914009_L",36.6,162.74,131.32,386
"199","LKZ","LKZ","20170916001_L",190.1,289.32,227.72,386
"200","LKZ","LKZ","20170916002_L",111,227.84,187.64,386
"201","LKZ","LKZ","20170916003_R",114.6,243.77,192.95,386
"202","LKZ","LKZ","20170916004_L",69.7,198.09,162.64,386
"203","LKZ","LKZ","20170916005_L",61.3,192.93,150.97,386
"204","LKZ","LKZ","20170916006_L",46.5,178.69,143.28,386
"205","LKZ","LKZ","20170916007_L",4.5,80.7,64.48,386
"206","MKZ","MKZ","20170913007_R",315.3,385.2,267.32,386
