Abbreviation,Number,BW,TL,SL
LKZ,17051795,21.2,126.77,101.08
LKZ,17051796,26.5,142.65,108.04
LKZ,20170914001,185.1,276.04,228.29
LKZ,20170914002,129.3,240.98,199.89
LKZ,20170914003,91,214.51,177.6
LKZ,20170914004,70.5,203.89,162.83
LKZ,20170914005,74.4,203.19,166.52
LKZ,20170914006,58.9,194.41,158.05
LKZ,20170914007,83.2,207.44,170.55
LKZ,20170914008,48.1,175.72,143.74
LKZ,20170914009,36.6,162.74,131.32
LKZ,20170916001,190.1,289.32,227.72
LKZ,20170916002,111,227.84,187.64
LKZ,20170916003,114.6,243.77,192.95
LKZ,20170916004,69.7,198.09,162.64
LKZ,20170916005,61.3,192.93,150.97
LKZ,20170916006,46.5,178.69,143.28
LKZ,20170916007,4.5,80.7,64.48
MKZ,20170911007,315.3,385.2,267.32
MKZ,20170911008,188,291.68,235.49
MKZ,20170911009,94.4,231,189.48
MKZ,20170911010,84.2,223.92,178.2
MKZ,20170911011,87.4,217.37,179.88
MKZ,20170911012,104.1,221.7,174.51
MKZ,20170911013,104.9,225.93,191.44
MKZ,20170911014,68.4,204.48,163.43
MKZ,20170911015,67.4,205.59,163.39
MKZ,20170911016,54.3,181.75,150.03
MKZ,20170911017,51.4,180.5,149.94
MKZ,20170911018,47.1,179.16,146.53
MKZ,20170911019,54.8,187.22,151.4
MKZ,20170911020,47.2,181.13,144.17
MKZ,20170911021,42.4,178.52,141.32
MKZ,20170911022,45.5,173.86,136.5
MKZ,20170911023,48.8,175.33,138.99
MKZ,20170911024,51.5,184.33,145.29
MKZ,20170911025,38.9,171.2,135.26
MKZ,20170911026,46,174.61,141.14
MKZ,20170911027,40.8,174.78,136.74
MKZ,20170911028,42.5,175.65,143.44
MKZ,20170911029,47.9,174.82,139.95
MKZ,20170911030,46.4,170.07,138.18
MKZ,20170911031,42.1,173.57,137.82
MKZ,20170911032,36.7,169.07,135.18
MKZ,20170911033,33.7,161.21,130.62
MKZ,20170911034,33.6,159.58,129.64
MKZ,20170911035,28.9,152.12,120.46
MKZ,20170911036,22,135.99,108.95
MKZ,20170911037,27.2,140.92,114.41
MKZ,20170911038,23.6,133.4,109.64
MKZ,20170911039,14.5,114.44,91.35
MKZ,20170911040,18.1,126.19,101.35
MKZ,20170911041,15.1,116.27,91.95
MKZ,20170911042,12.7,112.54,89.93
MKZ,20170911043,9.9,106.18,84.19
MKZ,20170911044,10.1,101.63,81.97
MKZ,20170911045,9.3,99.37,82.75
MKZ,20170911046,11.1,104.8,85
MKZ,20170911047,9.6,101.89,81.97
MKZ,20170911048,10.8,104.18,85.1
MKZ,20170911049,10.5,101.84,79.19
MKZ,20170911050,11.8,103.12,84.93
MKZ,20170911051,11.3,106.58,84.43
MKZ,20170911052,11.1,106.27,85.78
MKZ,20170911053,10.5,98.92,81.48
MKZ,20170911054,7.1,88.55,70.25
MKZ,20170911055,8.1,93.17,76.66
MKZ,20170911056,7.4,95.38,74.89
MKZ,20170911057,10.7,100.61,80.08
MKZ,20170911058,9.6,97.37,79.35
MKZ,20170911059,7.8,95.28,75.03
MKZ,20170911060,7.9,92.39,73.32
MKZ,20170911061,8.3,89.97,72.2
MKZ,20170911062,11.5,105.92,86.36
MKZ,20170911063,11.5,111.88,87.6
MKZ,20170911064,12.9,104.25,80.04
MKZ,20170911065,8.9,96.69,78.49
MKZ,20170911066,8.7,96.29,75.13
MKZ,20170911067,9.7,97.35,78.05
MKZ,20170911068,5.1,84.75,66.05
MKZ,20170911069,5.5,88.89,70.27
MKZ,20170911070,6.9,90.47,72.81
MKZ,20170911071,6.9,93.24,73.4
MKZ,20170911072,7.9,93.4,75.01
MKZ,20170911073,5.9,83.94,67.5
MKZ,20170911074,9.5,98.69,80.36
MKZ,20170911075,6.9,92.44,73.7
MKZ,20170911076,6.3,94.35,71.7
MKZ,20170911077,7.5,94.44,77.3
MKZ,20170911078,5.7,86.98,68.77
MKZ,20170911079,7.2,85.87,71.26
MKZ,20170911080,4.5,76.27,59.33
MKZ,20170911081,3.8,71.17,57.9
MKZ,20170911082,3.7,73.05,57.68
MKZ,20170911083,3.5,71.32,56.38
MKZ,20170911084,4.2,74.04,62.66
MKZ,20170911085,4.8,81.82,65.58
MKZ,20170911086,4.1,73.84,58.74
MKZ,20170911087,3.4,72.08,56.05
MKZ,20170917002,203.4,289.6,237.49
MKZ,20170917003,184.5,286.35,231.64
MKZ,20170917004,80.8,215.04,172.97
MKZ,20170917005,59.4,201.94,163.89
MKZ,20170917006,58.3,191.24,155.55
MKZ,20170917007,52.2,182.42,146.99
MKZ,20170917008,51.4,182.91,144.34
MKZ,20170917009,52.3,193.76,157.02
MKZ,20170917010,65.8,195.67,157.57
MKZ,20170917011,55.7,186.49,153.37
MKZ,20170917012,60.1,187.38,154.59
MKZ,20170917013,77.6,215.63,175.32
MKZ,20170917014,48,190.64,151.03
MKZ,20170917015,55.4,189.87,153.39
MKZ,20170917016,35.7,171.65,133.87
MKZ,20170917017,43.1,184.77,149.29
MKZ,20170917018,44,178.12,146.16
MKZ,20170917019,35.5,167.07,128.85
MKZ,20170917020,26.3,153.86,119.83
MKZ,20170917021,29.3,149.82,121.95
MKZ,20170917022,14.9,114.04,93.64
MKZ,20170917023,13.3,115.26,94.48
MKZ,20170917024,12.3,110.05,89.62
MKZ,20170917025,11.1,105.73,86.47
MKZ,20170917026,11.8,107.63,86.54
MKZ,20170917027,14.2,115.7,93.8
MKZ,20170917028,10.7,105.33,85.72
MKZ,20170917029,10.6,105.69,85.14
MKZ,20170917030,14.4,125.49,98.9
MKZ,20170917031,9.4,103.68,83.75
MKZ,20170917032,10.7,105.33,85.72
MKZ,20170917033,8.8,103.56,83.32
MKZ,20170917034,12.3,109.04,87.02
MKZ,20170917035,11.1,106.39,87.03
MKZ,20170917036,8.3,95.62,78.26
MKZ,20170917037,8.2,98.5,76.7
MKZ,20170917038,11.3,111.29,86.93
MKZ,20170917039,7.6,97.88,78.75
MKZ,20170917040,7.7,94.11,75.19
MKZ,20170917041,7.8,100.78,79.48
MKZ,20170917042,7.6,95.68,77.82
MKZ,20170917043,10.6,101.57,83.4
MKZ,20170917044,7.7,97.33,78.62
MKZ,20170917045,7.3,93.42,74.73
MKZ,20170917046,8.3,98.97,77.59
MKZ,20170917047,8.3,95.29,76.95
MKZ,20170917048,7.1,92.15,73.99
MKZ,20170917049,6.6,89.85,71.83
MKZ,20170917050,4.5,82.37,65.03
MKZ,20170917051,5.3,84.43,65.64
MKZ,20170917052,3.9,78.53,60.92
MKZ,20170917053,5.7,90.19,69.97
MKZ,20170917054,4.9,80.79,65.44
MKZ,20170917055,4.2,77.05,63.02
MKZ,20170917056,3.8,76.49,60.5
MKZ,20170917057,3.3,76.54,60.84
MKZ,20170917058,2.2,66.71,51.56
MKZ,20170917059,5.3,87.41,69.46
MKZ,20170917060,4.4,78.62,63.09
MKZ,20170917061,6.8,92.42,73.04
MKZ,20170917062,7,91.39,73.25
MKZ,20170917063,4.8,78.29,63.12
MKZ,20170917064,4.4,78.4,61.38
MKZ,20170917065,5,83.02,66.16
MKZ,20170917066,4.3,79.42,62.75
MKZ,20170917067,4.2,77.06,61.32
MKZ,20170917068,3.6,72.01,55.99
SPZ,17050901,266.1,274.06,247.75
SPZ,17050902,208.7,293.1,240.8
SPZ,17050903,190.3,271.87,227.33
SPZ,17050904,38.2,169.37,135.86
SPZ,17050905,27,136.79,114.36
SPZ,17050906,13.8,113.3,92.51
SPZ,17050911,0.8,47.4,37.4
SPZ,17050912,0.3,35.44,27.59
TTZ,20170806001,454.8,377.61,307.61
TTZ,20170806002,142,246.08,203.16
TTZ,20170806003,161,262.12,213.38
TTZ,20170806004,85.9,209.79,173.85
TTZ,20170806005,72.5,206.18,165.1
TTZ,20170806006,62.5,180.74,146.33
TTZ,20170806007,72.4,201.42,167.06
TTZ,20170806008,43.4,165.56,133.9
TTZ,20170806009,45.8,170.18,141.76
TTZ,20170806010,39.7,160.57,127.35
TTZ,20170806011,25.8,141.21,114.88
TTZ,20170806012,5.9,87.49,71.07
TTZ,20170806013,4.3,79.34,64.76
TTZ,20170806121,39.7,178.03,140.58
TTZ,20170806122,16.1,125.5,103.85
TTZ,20170806123,30.2,152.64,127.34
TTZ,20170806124,25.9,146.11,117.93
TTZ,20170806125,26.7,148.59,121.16
TTZ,20170806126,27.3,147.69,117.86
TTZ,20170806127,17.3,125.37,99.92
TTZ,20170806128,14.2,120.92,98.96
TTZ,20170806129,13.5,126.5,99.27
TTZ,20170806130,9.1,103.4,82.84
TTZ,20170806131,15.2,127.59,96.49
TTZ,20170806132,11.6,113.09,89.04
TTZ,20170806133,6.1,87.72,71.33
TTZ,20170806134,5,85.93,69.43
TTZ,20170806135,9.4,105.48,85.44
TTZ,20170806136,7.8,100.5,81.82
TTZ,20170806137,11,113.92,89.91
TTZ,20170806138,5.8,83.82,69.02
TTZ,20170806139,6.7,79.09,73.85
TTZ,20170806140,8.7,97.01,78.84
TTZ,20170806141,7.9,97.42,78.4
TTZ,20170806142,7.9,101.93,81.88
TTZ,20170806143,8.9,105.53,86.17
TTZ,20170806144,4.9,87.76,70.67
TTZ,20170806145,7.2,99.27,79.11
TTZ,20170806146,6,92.93,74.22
TTZ,20170806147,4.2,81.95,65.03
TTZ,20170806148,12.8,119.37,95.46
TTZ,20170806149,4.4,83.02,68.78
TTZ,20170806150,4.6,82.19,66.96
TTZ,20170806151,4.9,85.4,68.92
TTZ,20170806152,4.1,81.81,67.71
TTZ,20170806153,6.1,91.08,70.84
TTZ,20170806154,4,78.16,63.62
TTZ,20170806155,3.4,71.67,60.39
TTZ,20170806156,3.7,80.96,64.73
TTZ,20170806157,5,90.02,70.22
TTZ,20170806158,3.4,75.18,60.48
TTZ,20170806159,4.6,83.53,66.3
TTZ,20170806160,5.1,84.56,67.44
TTZ,20170806161,3.9,77.74,62.04
TTZ,20170806162,5.7,92.56,73.02
TTZ,20170806163,5.9,96.01,75.5
TTZ,20170806164,4.4,81.64,64.34
TTZ,20170806165,4.4,85.13,67.03
TTZ,20170806166,4.8,82.78,66.62
TTZ,20170806167,5.1,81.74,61.66
TTZ,20170806168,6.8,95.8,75.57
TTZ,20170806238,7.1,99.39,78.74
TTZ,20170806239,5.6,87.85,70.9
TTZ,20170807001,972.7,483,400
TTZ,20170807002,804.9,450,375
TTZ,20170807005,5,79.95,63.81
TTZ,20170807006,6.9,91.42,74.17
TTZ,20170807007,6.2,87.19,70.05
TTZ,20170807008,6.6,88.96,73.27
TTZ,20170807009,7.3,92.47,73.52
TTZ,20170807010,6,85,68.88
ZYZ,20170811001,819.9,455,375
ZYZ,20170811002,173.6,308.5,259.86
ZYZ,20170811003,212.3,305.67,246.4
ZYZ,20170811004,184.9,268.01,219.95
ZYZ,20170811005,92.1,216.22,178.66
ZYZ,20170811006,104.7,234.52,190.78
ZYZ,20170811007,103.9,234.12,195.42
ZYZ,20170811008,85.1,214.86,177.94
ZYZ,20170811009,69.4,201.19,165.28
ZYZ,20170811010,82.1,213.81,174.97
ZYZ,20170811011,74,204.08,168.49
ZYZ,20170811012,66.9,198.39,167.05
ZYZ,20170811013,56.3,188.65,155.78
ZYZ,20170811014,44,185.32,141.75
ZYZ,20170811015,54.5,183.36,146.82
ZYZ,20170811016,52.1,183.36,146.82
ZYZ,20170811017,47.4,175.18,142.31
ZYZ,20170811018,43.3,168.07,143.16
ZYZ,20170811019,35,156.9,129.49
ZYZ,20170811020,46,177.5,146.73
ZYZ,20170811021,67.3,193.87,164.16
ZYZ,20170811022,50,183.87,144.02
ZYZ,20170811023,34,162.34,129.48
ZYZ,20170811024,33.7,166.79,133.14
ZYZ,20170811025,35.3,164.9,130.68
ZYZ,20170811026,39.4,163.65,138.87
ZYZ,20170811027,20.8,135.74,108.95
ZYZ,20170811028,24.1,141.65,118.76
ZYZ,20170811029,36.8,169.37,137.33
ZYZ,20170811030,39.4,166.22,137.15
ZYZ,20170811031,27.7,142.8,117.13
ZYZ,20170811032,24.3,141.85,115.65
