Site,ID,standard.length,relative.otolith.area,relative.otolith.length,relative.otolith.width,relative.otolith.perimeter,Aspect ratio,Rectangularity,Roundness,Form factor,Ellipticity,Circularity,Altitude,Average river gradient,Latitude,Annual average temperature
CWLZ,170513033,223.82,1.889314884,1.73532548,1.399941286,5.157847664,1.239570186,0.777702653,0.798826709,0.892436219,0.106971502,14.08097335,1700,12.1571,28,11.9
CWLZ,170513034,197.28,1.807386723,1.690212446,1.384231409,4.961246952,1.221047604,0.772504633,0.805524243,0.922739818,0.099524028,13.61854162,1700,12.1571,28,11.9
CWLZ,170513035,184.34,1.848301412,1.726135815,1.372933549,5.052531633,1.257261006,0.779916869,0.789828838,0.909839059,0.113970429,13.81164118,1700,12.1571,28,11.9
CWLZ,170513036,174.13,1.811428086,1.609101431,1.43043071,4.910229019,1.124906939,0.786992966,0.890767521,0.944120579,0.05878231,13.31013315,1700,12.1571,28,11.9
CWLZ,170513038,142.27,2.298019992,1.885141395,1.531964482,5.676552578,1.230538578,0.795721653,0.823334021,0.896178121,0.103355566,14.02217965,1700,12.1571,28,11.9
CWLZ,170513039,150.22,1.923279253,1.735361026,1.440318399,5.144109192,1.20484542,0.769474087,0.813153969,0.913338687,0.09290693,13.7587193,1700,12.1571,28,11.9
CWLZ,170513040,106.9,2.246657827,1.949366318,1.470981828,5.560107652,1.325214412,0.783494889,0.752766244,0.913230477,0.139864268,13.76034959,1700,12.1571,28,11.9
CWLZ,170513049,192.98,1.726559121,1.697308028,1.290990183,4.943163692,1.314733489,0.787948529,0.7630803,0.887935324,0.135969644,14.15234902,1700,12.1571,28,11.9
CWLZ,170513050,190.51,1.899277643,1.76194853,1.39356087,5.315825049,1.264349888,0.773515989,0.778954588,0.844611444,0.116744276,14.87828599,1700,12.1571,28,11.9
CWLZ,170513051,184.13,1.965372015,1.686319859,1.474957201,5.290403887,1.143300875,0.790178838,0.879984408,0.882423315,0.066859897,14.2407509,1700,12.1571,28,11.9
CWLZ,170513052,191.74,1.633464907,1.634649385,1.362241642,4.92760538,1.199970207,0.733552229,0.778342413,0.845371945,0.09089678,14.8649014,1700,12.1571,28,11.9
CWLZ,170513053,227.6,1.62579718,1.672874637,1.21594599,4.774457262,1.375780381,0.799261115,0.739689904,0.896248021,0.158171346,14.02108604,1700,12.1571,28,11.9
CWLZ,170513054,244.9,1.501196527,1.59294852,1.232131513,4.66251537,1.292839687,0.764854357,0.753258755,0.867774456,0.127719216,14.48114833,1700,12.1571,28,11.9
CWLZ,170513055,209.3,1.869453221,1.778255235,1.373024763,5.149904745,1.295137046,0.765670891,0.752725327,0.885780416,0.128592341,14.18677856,1700,12.1571,28,11.9
CWLZ,170513058,171.7,1.641971729,1.784322751,1.240936062,4.988526273,1.437884518,0.741554128,0.656642469,0.829146003,0.179616596,15.15579954,1700,12.1571,28,11.9
CWLZ,170513059,162.1,1.773370611,1.684310644,1.434394733,4.954111986,1.174230918,0.734021248,0.795912342,0.907983031,0.080134505,13.83987386,1700,12.1571,28,11.9
CWLZ,170513061,163.5,1.560001676,1.717297527,1.230885827,4.739607679,1.39517207,0.738009155,0.673510072,0.872670188,0.164986923,14.39990822,1700,12.1571,28,11.9
CWLZ,170513063,194.06,2.14153074,1.848625081,1.505801991,5.46474016,1.227668108,0.769321031,0.797878476,0.901145967,0.102200192,13.94487805,1700,12.1571,28,11.9
CWLZ,170513065,166.55,1.484698529,1.633345553,1.20233967,4.575719947,1.358472646,0.756019552,0.708585479,0.8911058,0.151993557,14.10199621,1700,12.1571,28,11.9
CWLZ,170513066,170.3,1.966349441,1.944835535,1.339708799,5.321783118,1.451685274,0.754687937,0.661919317,0.872481486,0.184234607,14.40302266,1700,12.1571,28,11.9
CWLZ,170513067,196.08,1.866044479,1.884762759,1.348612084,5.228932707,1.397557371,0.734138927,0.668834591,0.857641425,0.165817668,14.65224305,1700,12.1571,28,11.9
CWLZ,170513068,157.23,1.760216948,1.708342131,1.394349731,4.931450442,1.225189128,0.738957786,0.767938805,0.909550289,0.101199995,13.81602619,1700,12.1571,28,11.9
CWLZ,170513070,173.17,1.697780235,1.681840316,1.282602144,4.926938077,1.311272029,0.787054403,0.764226467,0.878895274,0.134675635,14.29791578,1700,12.1571,28,11.9
